Timestamp,CPU_Power_W_Actual,CPU_Temp_C,CPU_Fan_RPM,Ambient_Temp_C,Set_PPT_W,Mprime_Threads,Thermal_Resistance_Recalculated,Thermal_Resistance_Calculated
2025-06-03 13:11:40.788,21.952,49.6,621,22.8,22,6,1.2208454810495626,1.2208454810495626
2025-06-03 13:11:39.566,21.957,49.68,621,22.8,22,6,1.2242109577811175,1.2242109577811175
2025-06-03 13:11:38.342,21.959,49.66,622,22.8,22,6,1.2231886697937062,1.2231886697937062
2025-06-03 13:11:37.128,21.959,49.38,622,22.8,22,6,1.2104376337720295,1.2104376337720295
2025-06-03 13:11:32.197,21.958,49.44,623,22.8,22,6,1.2132252482011112,1.2132252482011112
2025-06-03 13:11:33.427,21.958,49.32,623,22.8,22,6,1.207760269605611,1.207760269605611
2025-06-03 13:11:34.654,21.957,49.38,623,22.8,22,6,1.210547889055882,1.210547889055882
2025-06-03 13:11:35.892,21.959,49.45,623,22.8,22,6,1.213625392777449,1.213625392777449
2025-06-03 13:04:37.557,15.0,42.29,625,22.8,15,6,1.2993333333333332,1.2993333333333332
2025-06-03 13:04:36.214,15.0,42.32,625,22.8,15,6,1.3013333333333332,1.3013333333333332
2025-06-03 13:11:45.651,21.953,49.77,626,22.8,22,6,1.228533685601057,1.228533685601057
2025-06-03 13:11:44.432,21.947,49.7,626,22.8,22,6,1.2256800473868867,1.2256800473868867
2025-06-03 13:11:43.227,21.952,49.71,626,22.8,22,6,1.225856413994169,1.225856413994169
2025-06-03 13:11:42.007,21.951,49.78,626,22.8,22,6,1.229101179900688,1.229101179900688
2025-06-03 13:04:40.151,14.999,42.38,627,22.8,15,6,1.305420361357424,1.305420361357424
2025-06-03 13:04:38.849,15.002,42.25,627,22.8,15,6,1.2964938008265563,1.2964938008265563
2025-06-03 13:11:57.880,21.96,49.92,629,22.8,22,6,1.2349726775956285,1.2349726775956285
2025-06-03 13:04:41.444,15.001,42.38,629,22.8,15,6,1.305246316912206,1.305246316912206
2025-06-03 13:04:42.783,15.001,42.28,629,22.8,15,6,1.298580094660356,1.298580094660356
2025-06-03 13:11:56.659,21.955,49.92,629,22.8,22,6,1.2352539284900934,1.2352539284900934
2025-06-03 13:11:48.107,21.952,49.75,630,22.8,22,6,1.2276785714285714,1.2276785714285714
2025-06-03 13:11:46.873,21.956,49.65,630,22.8,22,6,1.222900346146839,1.222900346146839
2025-06-03 13:11:51.759,21.951,49.68,630,22.8,22,6,1.224545578789121,1.224545578789121
2025-06-03 13:11:55.442,21.959,50.05,630,22.8,22,6,1.2409490413953277,1.2409490413953277
2025-06-03 13:11:50.545,21.951,49.73,630,22.8,22,6,1.2268233793449044,1.2268233793449044
2025-06-03 13:11:49.325,21.951,49.78,630,22.8,22,6,1.229101179900688,1.229101179900688
2025-06-03 13:11:54.214,21.956,49.91,630,22.8,22,6,1.2347422116961193,1.2347422116961193
2025-06-03 13:11:52.992,21.95,49.82,630,22.8,22,6,1.2309794988610478,1.2309794988610478
2025-06-03 13:05:37.220,15.999,43.18,631,22.8,16,6,1.273829614350897,1.273829614350897
2025-06-03 13:05:41.043,15.998,43.21,631,22.8,16,6,1.2757844730591326,1.2757844730591326
2025-06-03 13:05:38.499,16.003,43.23,631,22.8,16,6,1.276635630819221,1.276635630819221
2025-06-03 13:05:39.771,16.002,43.12,631,22.8,16,6,1.2698412698412698,1.2698412698412698
2025-06-03 13:05:43.661,16.004,43.19,632,22.8,16,6,1.2740564858785302,1.2740564858785302
2025-06-03 13:05:42.371,16.005,43.2,632,22.8,16,6,1.2746016869728212,1.2746016869728212
2025-06-03 13:11:59.090,21.955,50.06,634,22.8,22,6,1.241630608061945,1.241630608061945
